,values
883,75225.52719356492
884,73228.20417445898
885,71999.07372245751
886,72626.7823815681
887,71530.66634551995
888,75104.46715696715
889,75010.71545558609
890,75935.65563237108
891,74477.65228322893
892,73720.23302195221
893,74371.08433802612
894,75380.63087657839
895,76223.78969179094
896,74806.58126071654
897,73828.33317065053
898,74114.58389660716
899,153133.51025028527
900,135018.82693881728
901,113687.74524168111
902,87375.06298911292
903,79797.2553337235
904,76857.81869032048
905,75813.6539290417
906,75480.08045970835
907,74645.04551511258
908,73551.02029841766
909,74041.34137743153
910,73857.12582800351
911,72989.94653090835
912,71926.88459318504
913,70446.40892610885
914,69613.87977264635
915,69223.87014122866
916,73326.53652587347
917,73926.61764070578
918,74612.24678403698
919,72991.84582482465
920,71338.50249045901
921,73267.46688903123
922,75037.91206763126
923,76143.85974277556
924,74384.66668359563
925,71967.67951125279
926,71379.345289886
927,71443.5541926194
928,71208.28115379438
929,72371.67049956694
930,72039.42174783908
931,71660.48867085762
932,71110.41165551916
933,73947.33430880122
934,72719.0497608129
935,72319.65538298525
936,71470.83060692996
937,72343.65990441479
938,72687.59170779586
939,71741.56777249463
940,71202.43962796777
941,83628.30672788434
942,80757.42023045197
943,77709.35674339905
944,73408.71689877287
945,71837.61777911894
946,72767.87278677896
947,74051.41242332384
948,72735.48902748339
949,75104.88212874718
950,74593.76457937248
951,73458.48159147054
952,71640.92115538381
953,71772.03627742082
954,72960.1802859176
955,71834.42568850331
956,71046.80925000273
957,70405.43844305724
958,72294.00693488866
959,71962.01355041005
960,70622.51656537317
961,70291.78405668773
962,72106.71101801656
963,72518.0118938405
964,72833.5819721017
965,72062.50056299008
966,72001.40394860692
967,72285.67557838187
968,72371.73434137926
969,73455.06605451182
970,73136.511371525
971,77092.0702601485
972,76164.59237132408
973,74960.31234476529
974,73675.81508103572
975,74960.21658204682
976,74352.60213336162
977,75789.28231719136
978,75612.05744621158
979,77175.79879699647
980,75399.99090616219
981,75756.4516652096
982,76937.54115344584
983,77476.86082340963
984,76679.95540121756
985,76374.32868522406
986,77983.66905045323
987,76985.51827539876
988,77790.9146586284
989,76871.80004721694
990,76792.02970273234
991,75441.1050332915
992,77021.95598977618
993,77709.99516152218
994,77098.47040183283
995,78921.39355015382
996,87941.092477303
997,88852.37848647963
998,88344.24554183055
999,86381.4370025061
1000,83909.84912018292
1001,86483.87917058822
1002,84002.58733279351
1003,82316.32556395419
1004,80941.76346350461
1005,80608.2378755305
1006,81109.60358807445
1007,81464.34061818942
1008,80884.92829009332
1009,84252.19285848271
1010,83139.5657337252
1011,84684.92064256407
1012,86842.71005691774
1013,84173.47590390127
1014,82522.72614316083
1015,82118.28028193396
1016,85187.75471679121
1017,87885.37453560717
1018,86700.34281546064
1019,88142.28994880617
1020,91389.92294114828
1021,92098.8383855205
1022,87982.06296035461
1023,88217.83077322505
1024,88132.52215152234
1025,88278.68798081204
1026,89855.30941723101
1027,92893.36570020393
1028,93522.89385096543
1029,89423.57916146703
1030,84433.12853480317
1031,79129.75726508908
1032,75514.42735473253
1033,64105.001709097996
1034,64696.1768911127
1035,61716.360301421955
1036,64892.85755439475
1037,59860.063845714554
1038,56355.67504470423
1039,57981.646202040836
1040,55547.58134490438
1041,54954.74627576955
1042,60762.03693052009
1043,58139.84621295147
1044,61439.63796595298
1045,64817.97110855207
1046,72467.64070392586
1047,83635.78420015145
1048,77364.9780473318
1049,74618.40751892515
1050,71030.52958786301
1051,79457.66477357969
1052,78335.91624988802
1053,81846.99248073809
1054,92434.33508944977
1055,83709.09854136594
1056,87274.03332112823
1057,91918.4453646047
1058,93502.25698513538
1059,93070.31924348138
1060,90728.12275426276
1061,88567.10134816077
1062,102928.5803753566
1063,115201.92938565835
1064,115712.80752823688
