,values
862,0.020583333
863,0.021233333
864,0.005583333
865,0.008733333
866,0.006766667
867,0.015866667
868,0.00295
869,0.0114
870,0.012783333
871,0.011116667
872,0.013583333
873,0.016333333
874,0.019916667
875,0.0175
876,0.02705
877,0.0176
878,0.0
879,0.020683333
880,0.028516667
881,0.027665744
882,0.006716667
883,0.0
884,0.016933333
885,0.018883333
886,0.022983333
887,0.018033333
888,0.0289
889,0.002883333
890,0.007866667
891,0.0076
892,0.01195
893,0.013166667
894,0.0
895,0.00175
896,0.0117
897,0.014666667
898,0.027516667
899,0.0164
900,0.0175
901,0.005616667
902,0.027
903,0.223233333
904,0.004133333
905,0.003483333
906,0.004
907,0.005533333
908,0.009316667
909,0.0099
910,0.008866667
911,0.0
912,0.0126
913,0.01145
914,0.0111
915,0.011133333
916,0.012383333
917,0.0172
918,0.019933333
919,0.015633333
920,0.020866667
921,0.019283333
922,0.013266667
923,0.002733333
924,0.019683333
925,0.0273
926,0.006016667
927,0.008066667
928,0.009166667
929,0.0119
930,0.017983333
931,0.018833333
932,0.049083333
933,0.003166508
934,0.01085
935,0.012366667
936,0.011216667
937,0.013066667
938,0.011266667
939,0.011683333
940,0.018566667
941,0.015233333
942,0.016616667
943,0.023216667
944,0.019783333
945,0.008916667
946,0.013016667
947,0.0176
948,0.0229
949,0.0
950,0.004283333
951,0.002516667
952,0.017933333
953,0.01555
954,0.022766667
955,0.0
956,0.018083333
957,0.022316667
958,0.0097
959,0.022216667
960,0.023133333
961,0.012666667
962,0.019766667
963,0.02675
964,0.006633333
965,0.000983333
966,0.030116667
967,0.163016667
968,0.002683333
969,0.00455
970,0.009233333
971,0.007066667
972,0.01015
973,0.01475
974,0.0095
975,0.00925
976,0.015433333
977,0.0
978,0.016183333
979,0.016983333
980,0.017666667
981,0.020966667
982,0.0158
983,0.016149462
984,0.024083333
985,0.027783333
986,0.01905
987,0.020816667
988,0.003466667
989,0.006933333
990,0.003466667
991,0.00295
992,0.013733333
993,0.018516667
994,0.01925
995,0.022683333
996,0.020666667
997,0.002366667
998,0.009
999,0.00755
1000,0.0138
1001,0.01225
1002,0.0128
1003,0.017
1004,0.014133333
1005,0.007966667
1006,0.021416667
1007,0.017
1008,0.020466667
1009,0.02295
1010,0.027666667
1011,0.0223
1012,0.027333333
1013,0.02745
1014,0.026983333
1015,0.005816667
1016,0.003316667
1017,0.008333333
1018,0.037783333
1019,0.024016667
1020,0.037183333
1021,0.0118
1022,0.10695
1023,0.0445
1024,0.009316046
1025,0.00675
1026,0.013883333
1027,0.021283333
1028,0.016583333
1029,0.019583333
1030,0.006783333
1031,0.011366667
1032,0.008583333
1033,0.011383333
1034,0.011
1035,0.012398347
1036,0.006166667
1037,0.00491724
1038,0.00735
1039,0.007766667
1040,0.007566667
1041,0.008416667
1042,0.009283333
1043,0.012166667
1044,0.010433333
1045,0.007749742
1046,0.011316667
1047,0.0111
1048,0.013216667
1049,0.012416667
1050,0.015866667
1051,0.01105
1052,0.013783333
1053,0.0146
1054,0.013816667
1055,0.022134071
1056,0.009266667
1057,0.011783333
1058,0.014016667
1059,0.01685
1060,0.01895
1061,0.01945
1062,0.019083333
1063,0.012233333
1064,0.014716667
1065,0.0186
1066,0.023316667
1067,0.017766667
1068,0.020533333
1069,0.017833333
1070,0.023216667
1071,0.020283333
1072,0.023816667
1073,0.0173
1074,0.0213
1075,0.025516667
1076,0.026816667
1077,0.024383333
1078,0.02105
1079,0.0301
1080,0.029033333
1081,0.0366
1082,0.031816667
1083,0.032733333
1084,0.042916667
1085,0.032766667
1086,0.034766667
1087,0.042416667
1088,0.040869391
1089,0.025066667
1090,0.05245
1091,0.0242
1092,0.020183333
1093,0.023033333
1094,0.028016667
1095,0.03045
1096,0.026766667
1097,0.029966667
1098,0.03335
1099,0.024566667
1100,0.0331
1101,0.029116667
1102,0.04305
1103,0.0375
1104,0.032266667
1105,0.040783333
1106,0.04305
1107,0.04675
1108,0.047116667
1109,0.049166667
1110,0.04685
1111,0.046766667
1112,0.052266667
1113,0.0647
1114,0.074716667
1115,0.058033333
1116,0.067966667
1117,0.056716667
1118,0.067116667
1119,0.050216667
1120,0.049333333
1121,0.054933333
1122,0.043383333
1123,0.054316667
1124,0.050733333
1125,0.06175
1126,0.049454945
1127,0.0587
1128,0.067016667
1129,0.063683333
1130,0.064
1131,0.05555
1132,0.059916667
1133,0.038483333
1134,0.0414
1135,0.0419
1136,0.042033333
1137,0.0449
1138,0.043833333
1139,0.040266667
1140,0.02275
1141,0.02275
1142,0.02225
1143,0.022583333
1144,0.027233333
1145,0.039916667
1146,0.0361
1147,0.037366667
1148,0.052716667
1149,0.047166667
1150,0.046883333
1151,0.046566667
1152,0.056216667
1153,0.055566667
1154,0.046733333
1155,0.0423
1156,0.031616667
1157,0.036483333
1158,0.045133333
1159,0.035816667
1160,0.04035
1161,0.047316667
1162,0.05
1163,0.041266667
1164,0.0323
1165,0.037333333
1166,0.041283333
1167,0.0247
1168,0.021833333
1169,0.032533333
1170,0.023216667
1171,0.023933333
1172,0.023233333
1173,0.030933333
1174,0.029
1175,0.031083333
1176,0.025633333
1177,0.0266
1178,0.03435
1179,0.032416667
1180,0.034466667
1181,0.030333333
1182,0.0343
1183,0.027133333
1184,0.037966667
1185,0.043533333
1186,0.029983333
1187,0.034916667
1188,0.035916667
1189,0.038683333
1190,0.039233333
1191,0.029483333
1192,0.0405
1193,0.030383333
1194,0.03875
1195,0.03675
1196,0.033666667
1197,0.0269
1198,0.025983333
1199,0.033483333
1200,0.0287
1201,0.026266667
1202,0.037933333
1203,0.032016667
1204,0.0283
1205,0.025366667
1206,0.03535
1207,0.031
1208,0.032501083
1209,0.034683333
1210,0.036716667
1211,0.045116667
1212,0.058716667
1213,0.0354
1214,0.03145
1215,0.031483333
1216,0.0248
1217,0.03255
1218,0.0326
1219,0.024466667
1220,0.039533333
1221,0.040633333
1222,0.02985
1223,0.033083333
1224,0.035116667
1225,0.047633333
1226,0.056916667
1227,0.049816667
1228,0.042883333
1229,0.050116667
1230,0.06155
1231,0.0517
1232,0.050383333
1233,0.05375
1234,0.056
1235,0.038816667
1236,0.0335
1237,0.05925
1238,0.023766667
1239,0.02735
1240,0.026966667
1241,0.028166667
1242,0.02865
1243,0.02685
1244,0.027283333
1245,0.028516667
1246,0.02745183
1247,0.0332
1248,0.033616667
1249,0.041583333
1250,0.049283333
1251,0.039033333
1252,0.036633333
1253,0.050566667
1254,0.055389795
1255,0.051433333
1256,0.054366667
1257,0.054083333
1258,0.116233333
1259,0.027583333
1260,0.025233333
1261,0.032466667
1262,0.037433333
1263,0.032583333
1264,0.032183333
1265,0.024033333
1266,0.03215
1267,0.035516667
1268,0.029283333
1269,0.03495
1270,0.0344
1271,0.0342
1272,0.035083333
1273,0.044216667
1274,0.0325
1275,0.035380385
1276,0.035016667
1277,0.0374
1278,0.041366667
1279,0.032833333
1280,0.035783333
1281,0.03255
1282,0.044733333
1283,0.043416667
1284,0.022966667
1285,0.0206
1286,0.022
1287,0.026516667
1288,0.022116667
1289,0.028833333
1290,0.0246
1291,0.028966667
1292,0.02345
1293,0.0313
1294,0.0292
1295,0.03375
1296,0.038016667
1297,0.03695
1298,0.03345
1299,0.034116667
1300,0.03495
1301,0.037666667
1302,0.036716667
1303,0.029483333
1304,0.034783333
1305,0.036583333
1306,0.038866667
1307,0.0336
1308,0.03925
1309,0.045116667
1310,0.04815
1311,0.03145
1312,0.032966667
1313,0.037166667
1314,0.0356
1315,0.031266667
1316,0.033633333
1317,0.035966667
1318,0.038433333
1319,0.03675
1320,0.0443
1321,0.043083333
1322,0.050166667
1323,0.039266667
1324,0.031233333
1325,0.0412
1326,0.056716667
1327,0.0222
1328,0.026183333
1329,0.0235
1330,0.035566667
1331,0.037216667
1332,0.02725
1333,0.027883333
1334,0.027466667
1335,0.027833333
1336,0.0209
1337,0.021033333
1338,0.028983333
1339,0.027866667
1340,0.016566667
1341,0.02215
1342,0.018266667
1343,0.024066667
1344,0.020266667
1345,0.018966667
1346,0.023166667
1347,0.021716667
1348,0.021466667
1349,0.022933333
1350,0.026016667
1351,0.027916667
1352,0.027933333
1353,0.017266667
1354,0.022033333
1355,0.020516667
1356,0.026616667
1357,0.024383333
1358,0.027333333
1359,0.01765
1360,0.01995
1361,0.027216667
1362,0.0178
1363,0.025787966
1364,0.014216667
1365,0.02535
1366,0.028983333
1367,0.01925
1368,0.02885
1369,0.0191
1370,0.017983333
1371,0.024183333
1372,0.02475
1373,0.02535
1374,0.017266667
1375,0.022983333
1376,0.015866667
1377,0.023166667
1378,0.025583333
1379,0.019716667
1380,0.02325
1381,0.0224
1382,0.012033333
1383,0.01645
1384,0.020066667
1385,0.021983333
1386,0.024983333
1387,0.0122
1388,0.024083333
1389,0.022916667
1390,0.020683333
1391,0.0322
1392,0.0365
1393,0.037283333
1394,0.041316667
1395,0.022033333
1396,0.021383333
1397,0.023366667
1398,0.020983333
1399,0.023166667
1400,0.0261
1401,0.026883333
1402,0.021533333
1403,0.01795
1404,0.0169
1405,0.01565
1406,0.011733333
1407,0.009433648
1408,0.0133
1409,0.0173
1410,0.014616667
1411,0.011266667
1412,0.013566667
1413,0.01725
1414,0.020733333
1415,0.019966667
1416,0.018916667
1417,0.0167
1418,0.016783333
1419,0.021733333
1420,0.020483333
1421,0.02005
1422,0.021666667
1423,0.010533333
1424,0.012083333
1425,0.035416667
1426,0.013533333
1427,0.010116667
1428,0.01185
1429,0.009233333
1430,0.007383333
1431,0.011066667
1432,0.01095
1433,0.007883333
1434,0.014916667
1435,0.016616667
1436,0.016183333
1437,0.01225
1438,0.008116667
1439,0.012916667
1440,0.012333333
1441,0.010783333
1442,0.014433333
1443,0.01575
1444,0.006816667
1445,0.011883333
1446,0.006016667
1447,0.0087
1448,0.013116667
1449,0.01555
1450,0.012483333
1451,0.011416667
1452,0.017
1453,0.012716667
1454,0.010616667
1455,0.007433333
1456,0.010634042
1457,0.008383333
1458,0.017
1459,0.013866667
1460,0.009816667
1461,0.006516667
1462,0.013833333
1463,0.01345
1464,0.0061
1465,0.006666667
1466,0.0117
1467,0.010166667
1468,0.004333333
1469,0.017016667
1470,0.012316667
1471,0.010366667
1472,0.008983333
1473,0.013783333
1474,0.010783333
1475,0.011333333
1476,0.0167
1477,0.010683333
1478,0.010533333
