date,value
2023/4/7 10:02,6550262.517
2023/4/7 10:04,6835046.717
2023/4/7 10:06,6548817.317
2023/4/7 10:08,6392713.1
2023/4/7 10:10,6933202.7
2023/4/7 10:12,6872338.083
2023/4/7 10:14,6486852.6
2023/4/7 10:16,6672107.417
2023/4/7 10:18,6475206.232
2023/4/7 10:20,6802880.35
2023/4/7 10:22,6520787.233
2023/4/7 10:24,6848812.8
2023/4/7 10:26,6522157.783
2023/4/7 10:28,6710798.9
2023/4/7 10:30,5900414.45
2023/4/7 10:32,6360488.233
2023/4/7 10:34,6292718.7
2023/4/7 10:36,6384413.85
2023/4/7 10:38,6354349.8
2023/4/7 10:40,6269238.567
2023/4/7 10:42,6286918.683
2023/4/7 10:44,6035939.42
2023/4/7 10:46,6132116.983
2023/4/7 10:48,6279445.85
2023/4/7 10:50,6034756.825
2023/4/7 10:52,6065216.267
2023/4/7 10:54,6333225.583
2023/4/7 10:56,6247020.933
2023/4/7 10:58,5955330.983
2023/4/7 11:00,6241385.5
2023/4/7 11:02,6534472.217
2023/4/7 11:04,6010615.383
2023/4/7 11:06,6406799.833
2023/4/7 11:08,5996308.25
2023/4/7 11:10,5986302.283
2023/4/7 11:12,5997501.408
2023/4/7 11:14,6011410.433
2023/4/7 11:16,6219980.033
2023/4/7 11:18,5443357.417
2023/4/7 11:20,6142688.383
2023/4/7 11:22,5967007.133
2023/4/7 11:24,6003352.383
2023/4/7 11:26,6396414.9
2023/4/7 11:28,6027994.583
2023/4/7 11:30,5338363.767
2023/4/7 11:32,5929571.067
2023/4/7 11:34,5615258.983
2023/4/7 11:36,6174602.45
2023/4/7 11:38,5600430.733
2023/4/7 11:40,5726272.733
2023/4/7 11:42,5796377.25
2023/4/7 11:44,5676707.65
2023/4/7 11:46,6252055.9
2023/4/7 11:48,5920929.317
2023/4/7 11:50,5397820.243
2023/4/7 11:52,6041749.583
2023/4/7 11:54,5777385.3
2023/4/7 11:56,6260023.517
2023/4/7 11:58,5698511.117
2023/4/7 12:00,5743384.067
2023/4/7 12:02,5212982.1
2023/4/7 12:04,5473817.2
2023/4/7 12:06,5820067.85
2023/4/7 12:08,5209070.8
2023/4/7 12:10,5575195.967
2023/4/7 12:12,5209522.95
2023/4/7 12:14,5587654.8
2023/4/7 12:16,5279296.233
2023/4/7 12:18,5028069.7
2023/4/7 12:20,5089140.933
2023/4/7 12:22,4068642.767
2023/4/7 12:24,5062172.167
2023/4/7 12:26,4870653.95
2023/4/7 12:28,5335856.65
2023/4/7 12:30,4084083.467
2023/4/7 12:32,3724235.433
2023/4/7 12:34,3678774.867
2023/4/7 12:36,3742185.083
2023/4/7 12:38,3212116.267
2023/4/7 12:40,4384403.583
2023/4/7 12:42,4076911.823
2023/4/7 12:44,3417480.017
2023/4/7 12:46,3676353.45
2023/4/7 12:48,3830848.539
