,values
229,1.7781404657503437e+17
230,1.7799194914811085e+17
231,1.7836217597824205e+17
232,1.791690326320251e+17
233,1.8018287240391885e+17
234,1.8113291813014733e+17
235,1.8170939019414733e+17
236,1.8170668901076173e+17
237,1.81364152604459e+17
238,1.7984935531482317e+17
239,1.779118952961147e+17
240,1.7570671506263245e+17
241,1.7416207957896397e+17
242,1.729122024969339e+17
243,1.720710144611451e+17
244,1.7146758326930637e+17
245,1.7120477789064397e+17
246,1.711562817664942e+17
247,1.7123933986147533e+17
248,1.7137372044078285e+17
249,1.71533492143915e+17
250,1.717113090697134e+17
251,1.7180608766528717e+17
252,1.71650598326059e+17
253,1.7142242738900173e+17
254,1.71275397365547e+17
255,1.7145426182343885e+17
256,1.7173345218522317e+17
257,1.720828535502766e+17
258,1.7242641113566413e+17
259,1.7282349826985165e+17
260,1.732329515533435e+17
261,1.737777143596974e+17
262,1.7436007632112845e+17
263,1.7475913993096397e+17
264,1.74961359742763e+17
265,1.750928810206331e+17
266,1.7533480822820045e+17
267,1.757884028011643e+17
268,1.766018213540987e+17
269,1.7733822982753485e+17
270,1.7794683938557133e+17
271,1.782173727840174e+17
272,1.786401409251246e+17
273,1.7923822904446157e+17
274,1.796338008806523e+17
275,1.7977310288432333e+17
276,1.7972187263552717e+17
277,1.7975514330893517e+17
278,1.798906109498491e+17
279,1.801364976969646e+17
280,1.806569234998395e+17
281,1.8130592563186893e+17
282,1.818236173100974e+17
283,1.8224807204375757e+17
284,1.8242200190078157e+17
285,1.825624107308155e+17
286,1.8266931171036365e+17
287,1.830085144610734e+17
288,1.835893677127598e+17
289,1.841258688509051e+17
290,1.8453971649858765e+17
291,1.848006837548974e+17
292,1.850379925977006e+17
293,1.853043226912686e+17
294,1.8571364420971725e+17
295,1.861470260250542e+17
296,1.8671635642371277e+17
297,1.873277594006651e+17
298,1.8775562684894413e+17
299,1.880092482040955e+17
300,1.884352775300219e+17
301,1.8883043430632653e+17
302,1.8928938512829645e+17
303,1.895839392941179e+17
304,1.8990482670382285e+17
305,1.9039990091238605e+17
306,1.9083353966955725e+17
307,1.9115279319272653e+17
308,1.9128893283536077e+17
309,1.9157214861921485e+17
310,1.921954368030638e+17
311,1.9289717789363405e+17
312,1.9327326826818765e+17
313,1.9336074049211597e+17
314,1.9343665692175565e+17
315,1.938939409159291e+17
316,1.944388025460654e+17
317,1.9499367831948493e+17
318,1.9550298315271373e+17
319,1.9602665037565133e+17
320,1.965110252627067e+17
321,1.9711978635054285e+17
322,1.9773552439741645e+17
323,1.9834769161161933e+17
324,1.9890143420566733e+17
325,1.9956721002769613e+17
326,2.002728184222843e+17
327,2.008918835364987e+17
328,2.01409239213867e+17
329,2.01869922746155e+17
330,2.0252127688420557e+17
331,2.0309477105822925e+17
